departure_date,departure_time,arrival_time,duration_minutes
15-10-2025,09:00:00,11:30:00,150
15-10-2025,13:00:00,16:00:00,180
15-10-2025,07:00:00,09:00:00,120
15-10-2025,11:25:00,13:55:00,150
15-10-2025,15:30:00,17:45:00,135
15-10-2025,13:00:00,15:30:00,150
15-10-2025,15:00:00,17:50:00,170
15-10-2025,10:00:00,13:00:00,180
15-10-2025,17:30:00,20:00:00,150
15-10-2025,22:10:00,02:55:00,285
15-10-2025,20:00:00,22:30:00,150
15-10-2025,10:25:00,12:55:00,150
15-10-2025,20:00:00,22:00:00,120
15-10-2025,16:30:00,18:45:00,135
15-10-2025,13:00:00,15:30:00,150
15-10-2025,20:00:00,23:00:00,180
15-10-2025,14:00:00,16:50:00,170
15-10-2025,19:00:00,22:00:00,180
15-10-2025,23:50:00,01:50:00,120
15-10-2025,23:15:00,02:15:00,180
15-10-2025,21:30:00,02:30:00,300
15-10-2025,20:00:00,23:00:00,180
15-10-2025,22:40:00,01:40:00,180
15-10-2025,17:00:00,19:25:00,145
15-10-2025,15:00:00,17:30:00,150
15-10-2025,05:30:00,08:00:00,150
15-10-2025,18:00:00,20:30:00,150
15-10-2025,15:00:00,17:00:00,120
15-10-2025,19:00:00,21:00:00,120
15-10-2025,20:00:00,22:30:00,150
15-10-2025,16:00:00,18:30:00,150
15-10-2025,08:05:00,10:35:00,150
15-10-2025,14:00:00,16:00:00,120
15-10-2025,10:00:00,12:15:00,135
15-10-2025,11:00:00,14:00:00,180
15-10-2025,17:25:00,19:55:00,150
15-10-2025,13:30:00,15:45:00,135
15-10-2025,20:25:00,22:55:00,150
15-10-2025,12:25:00,14:55:00,150
15-10-2025,17:00:00,20:00:00,180
15-10-2025,10:00:00,12:30:00,150
15-10-2025,14:00:00,16:30:00,150
15-10-2025,08:01:00,10:31:00,150
15-10-2025,15:00:00,17:30:00,150
15-10-2025,18:00:00,20:30:00,150
15-10-2025,06:00:00,08:30:00,150
15-10-2025,18:00:00,20:00:00,120
15-10-2025,11:00:00,13:00:00,120
15-10-2025,21:25:00,23:55:00,150
15-10-2025,06:25:00,08:55:00,150
15-10-2025,08:25:00,10:55:00,150
15-10-2025,16:00:00,19:00:00,180
15-10-2025,18:00:00,20:50:00,170
15-10-2025,17:00:00,19:00:00,120
15-10-2025,13:00:00,16:00:00,180
15-10-2025,12:00:00,14:15:00,135
15-10-2025,18:30:00,20:45:00,135
15-10-2025,18:00:00,20:20:00,140
15-10-2025,06:00:00,08:20:00,140
15-10-2025,07:00:00,10:00:00,180
15-10-2025,12:00:00,15:00:00,180
15-10-2025,15:00:00,18:00:00,180
15-10-2025,21:30:00,23:45:00,135
15-10-2025,05:30:00,07:30:00,120
15-10-2025,17:30:00,19:30:00,120
15-10-2025,14:30:00,16:30:00,120
15-10-2025,23:55:00,02:55:00,180
15-10-2025,21:30:00,02:15:00,285
15-10-2025,20:35:00,01:30:00,295
15-10-2025,20:25:00,01:30:00,305
15-10-2025,23:00:00,02:30:00,210
15-10-2025,08:00:00,11:00:00,180
15-10-2025,15:45:00,18:45:00,180
15-10-2025,22:30:00,01:30:00,180
15-10-2025,17:05:00,20:05:00,180
15-10-2025,18:20:00,20:45:00,145
15-10-2025,19:00:00,21:30:00,150
15-10-2025,09:01:00,11:31:00,150
15-10-2025,13:01:00,15:31:00,150
15-10-2025,15:01:00,17:31:00,150
15-10-2025,08:00:00,10:30:00,150
15-10-2025,13:00:00,15:30:00,150
15-10-2025,20:01:00,22:31:00,150
15-10-2025,11:00:00,13:30:00,150
15-10-2025,17:05:00,19:35:00,150
15-10-2025,15:00:00,17:30:00,150
15-10-2025,16:00:00,18:30:00,150
15-10-2025,19:25:00,21:55:00,150
15-10-2025,17:00:00,19:30:00,150
15-10-2025,13:25:00,15:55:00,150
15-10-2025,10:00:00,12:30:00,150
15-10-2025,12:05:00,14:35:00,150
15-10-2025,14:00:00,16:30:00,150
15-10-2025,07:05:00,09:35:00,150
15-10-2025,04:35:00,07:05:00,150
15-10-2025,16:05:00,18:35:00,150
15-10-2025,13:05:00,15:35:00,150
15-10-2025,19:00:00,21:30:00,150
15-10-2025,13:00:00,15:50:00,170
15-10-2025,17:00:00,20:00:00,180
15-10-2025,20:05:00,22:35:00,150
15-10-2025,20:00:00,23:00:00,180
15-10-2025,15:00:00,18:00:00,180
15-10-2025,14:00:00,17:00:00,180
15-10-2025,21:00:00,23:30:00,150
15-10-2025,11:30:00,15:00:00,210
15-10-2025,07:00:00,10:00:00,180
15-10-2025,11:00:00,13:30:00,150
15-10-2025,11:00:00,14:00:00,180
15-10-2025,15:00:00,18:00:00,180
15-10-2025,17:00:00,19:20:00,140
15-10-2025,15:25:00,17:55:00,150
15-10-2025,17:00:00,19:30:00,150
15-10-2025,14:05:00,16:35:00,150
15-10-2025,21:00:00,23:30:00,150
15-10-2025,19:00:00,22:00:00,180
15-10-2025,19:00:00,21:30:00,150
15-10-2025,18:00:00,21:00:00,180
15-10-2025,05:31:00,08:01:00,150
15-10-2025,12:00:00,14:00:00,120
15-10-2025,16:00:00,18:30:00,150
15-10-2025,06:00:00,08:30:00,150
15-10-2025,06:00:00,08:00:00,120
15-10-2025,09:00:00,11:00:00,120
15-10-2025,21:00:00,23:30:00,150
15-10-2025,13:00:00,15:00:00,120
15-10-2025,10:00:00,12:00:00,120
15-10-2025,16:00:00,18:00:00,120
15-10-2025,09:00:00,11:50:00,170
