company_name,departure_time,pickup_point,arrival_time,dropoff_point,price_original,price_discounted,departure_date,start_point,destination,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quality,rating_punctuality,rating_overall,reviewer_count,number_of_seat,duration_minutes
Đà Lạt ơi,22:30:00,Other,06:30,Other,450000,239000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.8,3532,24,480
Khanh Phong,14:25:00,Văn phòng,20:20,Other,320000,300000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.7,4.6,4.8,4.7,17295,32,355
Bình Minh Tải,22:30:00,Văn phòng,05:35,Văn phòng,350000,300000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.7,4.7,4.6,4.6,4.6,4.9,4.7,3830,22,425
Huỳnh Gia,23:00:00,Văn phòng,05:30,Văn phòng,280000,238000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8,4.7,8716,34,390
An Anh Limousine,23:30:00,Văn phòng,06:00,Văn phòng,299000,249000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7,4.8,8594,34,390
Liên Hưng,20:00:00,Bến xe,06:30,Văn phòng,313000,240000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.3,4.0,13064,32,630
Nhật Dương - Bình Minh Bus,23:00:00,Văn phòng,06:50,Văn phòng,349000,269000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,6000,21,470
Cúc Tùng,09:00:00,Văn phòng,17:50,Bến xe,340000,299000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.8,4.1,3.8,2847,21,530
Nam Hải Limousine,10:15:00,Văn phòng,18:15,Văn phòng,400000,350000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8,4.7,3636,24,480
Phương Nam,19:30:00,Văn phòng,05:32,Other,240000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8,4.7,2478,40,602
Đà Lạt ơi,23:45:00,Other,05:30,Other,450000,239000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.8,4.8,4.8,4.8,4.8,4.9,4.8,3532,24,345
Khanh Phong,23:01:00,Văn phòng,05:11,Văn phòng,320000,300000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.7,4.6,4.8,4.7,17295,32,370
Huỳnh Gia,22:30:00,Văn phòng,05:00,Văn phòng,280000,238000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8,4.7,8716,38,390
Bình Minh Tải,05:00:00,Văn phòng,12:05,Văn phòng,395000,289000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.7,4.7,4.6,4.6,4.6,4.9,4.7,3830,22,425
An Anh Limousine,05:00:00,Văn phòng,11:30,Văn phòng,449000,349000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7,4.8,8594,24,390
Nhật Dương - Bình Minh Bus,17:00:00,Văn phòng,23:36,Văn phòng,349000,269000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,6000,22,396
Nam Hải Limousine,22:20:00,Văn phòng,06:20,Văn phòng,300000,270000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8,4.7,3636,34,480
Cúc Tùng,20:00:00,Bến xe,08:05,Bến xe,541000,299000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.8,4.1,3.8,2847,21,725
Liên Hưng,08:45:00,Other,16:30,Văn phòng,490000,250000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.3,4.0,13064,21,465
Phương Nam,22:00:00,Văn phòng,08:02,Other,240000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8,4.7,2478,40,602
Trà Lan Viên,22:30:00,Văn phòng,05:50,Văn phòng,280000,200000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.6,4.5,4.5,4.5,4.3,4.4,4.8,4.4,4241,30,440
Hà Linh,18:00:00,Bến xe,04:50,Bến xe,390000,300000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.4,4.3,4.3,4.2,4.0,4.0,4.7,4.1,1338,32,650
Trọng Thủy Limousine,21:00:00,Other,04:15,Văn phòng,470000,380000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.7,4.7,4.7,4.6,4.7,1385,24,435
Bus365,12:30:00,Bến xe,18:30,Văn phòng,400000,289000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.9,4.7,4.7,4.6,4.7,189,24,360
Xe Nhà,22:15:00,Văn phòng,05:30,Văn phòng,260000,221000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.3,4.4,4.2,4.0,4.1,4.7,4.3,3246,40,435
Phúc An Express,20:30:00,Văn phòng,05:35,Văn phòng,470000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,3452,22,545
Hạnh Cafe - Hà Phương Limousine,22:15:00,Văn phòng,06:45,Văn phòng,300000,280000,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.6,4.4,4.5,4.4,4.4,4.3,4.8,4.4,7445,34,510
Việt Nhật,22:30:00,Văn phòng,06:50,Văn phòng,280000,0,2025-11-10,Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.6,4.7,4.9,4.7,820,34,500
