bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,start_point,destination
Đà Lạt ơi,23:30:00,Other,06:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,22:30:00,Văn phòng,05:35:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,22,350000000,300000000,14.0,Saturday,11-10-2025,425,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,22:30:00,Văn phòng,05:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,38,280000000,250000000,11.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,23:30:00,Văn phòng,06:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,34,299000000,199000000,33.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,05:15:00,Văn phòng,11:25:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,400000000,17.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,23:30:00,Văn phòng,06:06:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,396,Sài Gòn,Nha Trang - Khánh Hoà
Bus365,22:00:00,Bến xe,04:00:00,Văn phòng,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165,24,400000000,289000000,28.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Nam Hải Limousine,22:20:00,Văn phòng,06:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463,34,300000000,270000000,10.0,Saturday,11-10-2025,480,Sài Gòn,Nha Trang - Khánh Hoà
Trọng Thủy Limousine,21:00:00,Other,04:00:00,Văn phòng,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344,24,470000000,420000000,11.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Trà Lan Viên,22:15:00,Văn phòng,05:35:00,Văn phòng,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199,30,280000000,260000000,7.0,Saturday,11-10-2025,440,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:45:00,Other,05:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,345,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,11:00:00,Văn phòng,17:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,23:15:00,Văn phòng,06:20:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,22,395000000,289000000,27.0,Saturday,11-10-2025,425,Sài Gòn,Nha Trang - Khánh Hoà
An Anh Limousine,05:00:00,Văn phòng,11:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322,24,449000000,299000000,33.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Nhật Dương - Bình Minh Bus,22:35:00,Văn phòng,06:25:00,Văn phòng,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,470,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:20:00,Văn phòng,05:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Nam Hải Limousine,10:15:00,Văn phòng,18:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463,22,420000000,370000000,12.0,Saturday,11-10-2025,480,Sài Gòn,Nha Trang - Khánh Hoà
Bus365,13:00:00,Bến xe,19:00:00,Văn phòng,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165,24,400000000,289000000,28.0,Saturday,11-10-2025,360,Sài Gòn,Nha Trang - Khánh Hoà
Trà Lan Viên,23:00:00,Văn phòng,06:20:00,Văn phòng,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199,21,450000000,400000000,11.0,Saturday,11-10-2025,440,Sài Gòn,Nha Trang - Khánh Hoà
Phương Nam,22:00:00,Văn phòng,06:52:00,Văn phòng,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431,40,240000000,240000000,0.0,Saturday,11-10-2025,532,Sài Gòn,Nha Trang - Khánh Hoà
Hạnh Cafe - Hà Phương Limousine,22:15:00,Văn phòng,06:45:00,Văn phòng,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326,34,300000000,280000000,7.0,Saturday,11-10-2025,510,Sài Gòn,Nha Trang - Khánh Hoà
Xe Nhà,22:15:00,Văn phòng,05:30:00,Văn phòng,4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213,40,280000000,240000000,14.0,Saturday,11-10-2025,435,Sài Gòn,Nha Trang - Khánh Hoà
Liên Hưng,22:15:00,Bến xe,07:00:00,Văn phòng,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4,12922,21,500000000,300000000,40.0,Saturday,11-10-2025,525,Sài Gòn,Nha Trang - Khánh Hoà
Cúc Tùng,05:30:00,Văn phòng,15:20:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,362000000,300000000,17.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Quang Hạnh,19:30:00,Bến xe,04:55:00,Bến xe,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362,22,480000000,350000000,27.0,Saturday,11-10-2025,565,Sài Gòn,Nha Trang - Khánh Hoà
Phúc An Express,22:15:00,Văn phòng,05:45:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425,22,470000000,470000000,0.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Hà Linh,18:00:00,Bến xe,03:30:00,Văn phòng,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329,22,300000000,290000000,3.0,Saturday,11-10-2025,570,Sài Gòn,Nha Trang - Khánh Hoà
Việt Nhật,22:30:00,Văn phòng,06:50:00,Văn phòng,4.8,4.7,4.8,4.8,4.6,4.7,4.8,4.7,816,34,280000000,280000000,0.0,Saturday,11-10-2025,500,Sài Gòn,Nha Trang - Khánh Hoà
Quang Dũng VIP Limousine,05:30:00,Bến xe,14:35:00,Văn phòng,4.0,3.8,3.8,3.9,3.8,3.7,4.3,3.7,887,32,550000000,550000000,0.0,Saturday,11-10-2025,545,Sài Gòn,Nha Trang - Khánh Hoà
Long Vân Limousine,13:00:00,Văn phòng,20:00:00,Văn phòng,4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899,22,350000000,315000000,10.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Tài Phát Limousine,20:00:00,Bến xe,03:25:00,Other,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5,1170,24,520000000,450000000,13.0,Saturday,11-10-2025,445,Sài Gòn,Nha Trang - Khánh Hoà
Như Ý 78,18:00:00,Bến xe,02:45:00,Other,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,525,Sài Gòn,Nha Trang - Khánh Hoà
