company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
36 Limousine,11,15-10-2025,09:00:00,150,Văn phòng,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,13:00:00,180,Bến xe,Bến xe,230000,200000
Thành Trung Limousine,9,15-10-2025,07:00:00,120,Văn phòng,Văn phòng,230000,210000
Vĩnh Quang,10,15-10-2025,11:25:00,150,Văn phòng,Văn phòng,170000,0
Thơm Phụng,46,15-10-2025,15:30:00,135,Bến xe,Other,150000,0
Đức Phát,11,15-10-2025,13:00:00,150,Văn phòng,Bến xe,210000,0
Bình Hoài Limousine,10,15-10-2025,15:00:00,170,Văn phòng,Other,230000,0
An Phát,7,15-10-2025,10:00:00,180,Văn phòng,Văn phòng,250000,0
FUTA HÀ SƠN,34,15-10-2025,17:30:00,150,Bến xe,Other,300000,0
Thăng Long,40,15-10-2025,22:10:00,285,Other,Other,200000,0
36 Limousine,11,15-10-2025,20:00:00,150,Văn phòng,Văn phòng,230000,0
Vĩnh Quang,10,15-10-2025,10:25:00,150,Văn phòng,Văn phòng,170000,0
Thành Trung Limousine,11,15-10-2025,20:00:00,120,Văn phòng,Văn phòng,230000,210000
Thơm Phụng,24,15-10-2025,16:30:00,135,Bến xe,Other,200000,0
Đức Phát,24,15-10-2025,13:00:00,150,Bến xe,Bến xe,250000,0
Vân Anh Limousine,24,15-10-2025,20:00:00,180,Bến xe,Bến xe,230000,200000
Bình Hoài Limousine,10,15-10-2025,14:00:00,170,Văn phòng,Other,230000,0
An Phát,7,15-10-2025,19:00:00,180,Văn phòng,Văn phòng,250000,0
FUTA HÀ SƠN,34,15-10-2025,23:50:00,120,Bến xe,Other,200000,0
Thăng Long,40,15-10-2025,23:15:00,180,Bến xe,Other,200000,0
Nam Quỳnh Anh,22,15-10-2025,21:30:00,300,Bến xe,Other,350000,0
HM Happycar,24,15-10-2025,20:00:00,180,Other,Other,300000,0
Phú Quý,22,15-10-2025,22:40:00,180,Bến xe,Other,400000,0
Bảo Ngọc Limousine,32,15-10-2025,17:00:00,145,Bến xe,Other,220000,0
36 Limousine,11,15-10-2025,15:00:00,150,Văn phòng,Văn phòng,230000,0
36 Limousine,11,15-10-2025,05:30:00,150,Văn phòng,Văn phòng,230000,0
