company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Hoàng Thuỷ,4.7 (3500),Limousine 34 Giường VIP,18:45,• Bến xe Miền Đông - Quầy vé 37,(15/11),05:45,• Bến Xe Đức Long Gia Lai,11h,350.000đ,300.000đ,-14%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9
Sinh Diên Hồng,4.6 (238),Limousine 34 chỗ,17:30,• Bến xe An Sương,(15/11),04:15,• Bến Xe Đức Long Gia Lai,10h45m,370.000đ,296.000đ,-20%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9
Kính Diên Hồng,4.6 (1136),Limousine giường nằm 34 chỗ,18:40,• Bến Xe Miền Đông - Quầy vé 19,(15/11),05:40,• Bến Xe Đức Long Gia Lai,11h,350.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Phong Phú,4.4 (8683),Limousine 24 phòng đôi,20:00,• Văn phòng Hoàng Văn Thụ.,(15/11),07:45,• VP Gia Lai,11h45m,530.000đ,Từ 399.000đ,-25%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.5,4.5,4.6,4.5,4.4,4.4,4.7
Thuận Tiến,4.7 (4957),Limousine 34 giường,18:50,• Bến xe Miền Đông - Quầy vé 24,(15/11),07:15,• Bến Xe Đức Long Gia Lai,12h25m,350.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.6,4.9
Đức Đạt,4.7 (1030),Limousine giường nằm 34 chỗ,20:10,• Bến xe Miền Đông - Quầy vé 17,(15/11),06:35,• Bến Xe Đức Long Gia Lai,10h25m,350.000đ,300.000đ,-14%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9
Bảy Lang,4.7 (279),Limousine 34 giường,18:30,"• Bến xe Miền Đông cũ (dãy số 6, ô C14)",(15/11),05:30,• Bến Xe Đức Long Gia Lai,11h,350.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.8,4.6,4.6,4.7,4.5,4.6,4.6
Tấn Hưng (Gia Lai),4.4 (104),Limousine 24 Phòng,17:30,• Bến Xe Miền Đông - Phòng vé số 77,(15/11),06:55,• VP An Khê,13h25m,650.000đ,400.000đ,-38%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.5,4.5,4.5,4.4,4.0
Vương Tấn Dũng,4.8 (386),Limousine 24 Phòng,17:30,• VP QL13,(15/11),05:45,• Bến xe An Khê,12h15m,500.000đ,Từ 450.000đ,-10%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.8,4.8,4.8,4.8,4.8,4.8,4.9
Gia Phú - Gia Lai,4.4 (108),Limousine 22 phòng đơn,18:45,• Bến xe Miền Đông - Quầy vé 36,(15/11),05:45,• Bến Xe Đức Long Gia Lai,11h,550.000đ,500.000đ,-9%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.5,4.3,4.4,4.5,4.3,4.2,5.0
Hoàng Thuỷ,4.7 (3500),Limousine 34 Giường VIP,18:30,• Bến xe Miền Đông - Quầy vé 37,(15/11),05:30,• Bến Xe Đức Long Gia Lai,11h,350.000đ,300.000đ,-14%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.8,4.7,4.7,4.7,4.6,4.6,4.9
Kính Diên Hồng,4.6 (1136),Limousine 24 Phòng,19:30,• Bến Xe Miền Đông - Quầy vé 19,(15/11),07:00,• Bến xe Đắk Đoa,11h30m,Từ 450.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.6,4.7,4.6,4.5,4.5,4.5
Sinh Diên Hồng,4.6 (238),Limousine 34 chỗ,17:45,• Bến Xe Miền Đông cũ,(15/11),04:45,• Bến Xe Đức Long Gia Lai,11h,380.000đ,304.000đ,-20%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.8,4.6,4.6,4.9
Thuận Tiến,4.7 (4957),Limousine 34 giường,18:30,• Bến xe Miền Đông - Quầy vé 24,(15/11),06:55,• Bến Xe Đức Long Gia Lai,12h25m,350.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.6,4.9
Đức Đạt,4.7 (1030),Limousine giường nằm 24 chỗ,20:15,• Bến xe Miền Đông - Quầy vé 17,(15/11),06:40,• Bến Xe Đức Long Gia Lai,10h25m,500.000đ,450.000đ,-10%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.6,4.5,4.6,4.5,4.5,4.5,4.9
Việt Tân Phát,4.6 (123),34 Phòng,16:30,• Bến xe An Sương,(15/11),05:40,• Bến xe KBang,13h10m,380.000đ,320.000đ,-16%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.5,4.7
Việt Tân Phát,4.6 (123),34 Phòng,17:30,• Bến xe Miền Đông,(15/11),06:25,• Bến xe thị xã An Khê,12h55m,380.000đ,320.000đ,-16%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.7,4.8,4.6,4.6,4.5,4.7
Cô Hai,4.5 (200),Limousine 34 giường,16:50,• BX Miền Đông Cũ,(15/11),07:55,• VP Krông Pa,15h5m,430.000đ,350.000đ,-19%,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.4,4.7,4.5,4.5,4.6,4.8
Thuận Ý,4.5 (417),Limousine 34 chỗ,18:20,• Bến Xe Miền Đông - Quầy vé 10,(15/11),05:50,• Bến Xe Đức Long Gia Lai,11h30m,350.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.7,4.3,4.3,4.3,4.3,4.1,5.0
Sáu Bản,4.4 (485),Giường nằm 44 chỗ,17:00,• Bến xe An Sương,(15/11),04:10,• PleiMe,11h10m,300.000đ,,,"T6, 14/11/2025",Sài Gòn,Gia Lai,4.6,4.4,4.5,4.4,4.3,4.4,4.3
Bằng Phấn,4.7 (1735),xe Cabin cung điện 24 phòng,13:30,• Văn phòng Mỹ Đình,,20:30,• Bến xe Hà Giang,7h,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.7,4.7,4.7,4.6,4.6,4.7,4.8
Mạnh Quân,4.5 (596),Cabin cung điện 24 phòng (VIP),14:30,• Bến xe Mỹ Đình (Ô đón khách số 46),,21:00,• Văn Phòng 75 Cầu Mè (Gần Bến Xe Hà Giang đối diện khách sạn Hoa Cương),6h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.6,4.4,4.5,4.4,4.3,4.3,4.8
Quang Tuyến (Hà Giang),4.1 (261),Limousine giường phòng 24 chỗ,23:30,• 55 Nguyễn Hoàng,(15/11),06:00,• Văn phòng Hà Giang,6h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.3,4.0,4.1,4.0,4.0,4.0,4.3
Ngọc Sơn (Hà Giang),5 (1),Limousine 24 cabin,20:45,• Bến xe Mỹ Đình,(15/11),02:15,• Văn phòng Hà Giang,5h30m,350.000đ,Từ 330.000đ,-6%,"T6, 14/11/2025",Hà Nội,Hà Giang,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Đăng Quang (Hà Giang),4.6 (21),Limousine 24 chỗ,23:00,• 102 Trần Vỹ,(15/11),05:35,• Văn phòng Hà Giang,6h35m,350.000đ,Từ 300.000đ,-14%,"T6, 14/11/2025",Hà Nội,Hà Giang,4.8,4.6,4.6,4.6,4.7,4.7,4.6
Vĩnh Thiện,4.3 (42),Limousine giường phòng 24 chỗ,20:30,• Bến xe Gia Lâm,(15/11),04:00,• Bến xe Hà Giang,7h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.8,4.3,4.2,4.5,4.5,4.7,5.0
Quang Nghị,3.8 (718),Giường nằm 46 chỗ,22:30,• Văn Phòng Mỹ Đình,(15/11),05:00,• Bến xe Hà Giang,6h30m,250.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.2,3.9,4.1,3.9,3.9,3.8,4.4
Hà Tuấn,3.9 (66),Limousine giường phòng 24 chỗ,12:30,• Văn phòng Hà Nội,,19:00,• Văn phòng Hà Giang,6h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,3.8,3.6,3.6,3.9,3.5,3.5,4.5
Cầu Mè,4.3 (148),Giường nằm 41 chỗ,09:30,• Bến xe Mỹ Đình,,16:30,• Cầu Mè Hotel,7h,250.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.5,4.2,4.3,4.5,3.8,4.2,4.5
Bus Vip Limousine Ha Giang,4.8 (11),Limousine 9 chỗ,07:00,• Số 11 Hàng Rươi,,13:00,"• Số 5 Đại Lộ Hữu Nghị, Hà Giang",6h,Từ 320.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.8,4.8,4.8,4.9,4.8,4.8,4.4
Bằng Phấn,4.7 (1735),Limousine 13 chỗ,16:00,• 156 Trần Quang Khải,,22:30,• Bến xe Hà Giang,6h30m,300.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.7,4.7,4.7,4.6,4.6,4.7,4.8
Quang Tuyến (Hà Giang),4.1 (261),Limousine giường phòng 24 chỗ,23:00,• 55 Nguyễn Hoàng,(15/11),05:30,• Văn phòng Hà Giang,6h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.3,4.0,4.1,4.0,4.0,4.0,4.3
Ngọc Sơn (Hà Giang),5 (1),Limousine 24 cabin,07:00,• Bến xe Mỹ Đình,,12:30,• Văn phòng Hà Giang,5h30m,350.000đ,Từ 330.000đ,-6%,"T6, 14/11/2025",Hà Nội,Hà Giang,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Vĩnh Thiện,4.3 (42),Limousine giường phòng 24 chỗ,11:00,• Bến xe Gia Lâm,,18:30,• Bến xe Hà Giang,7h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.8,4.3,4.2,4.5,4.5,4.7,5.0
Quang Nghị,3.8 (718),Giường nằm 21 chỗ,20:30,• Văn Phòng Mỹ Đình,(15/11),02:30,• Văn phòng Hà Giang,6h,250.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.2,3.9,4.1,3.9,3.9,3.8,4.4
Đăng Quang (Hà Giang),4.6 (21),Limousine 24 chỗ,21:00,• 451 Nguyễn Văn Cừ,(15/11),03:35,• Văn phòng Hà Giang,6h35m,350.000đ,Từ 300.000đ,-14%,"T6, 14/11/2025",Hà Nội,Hà Giang,4.8,4.6,4.6,4.6,4.7,4.7,4.6
Cầu Mè,4.3 (148),Giường nằm 41 chỗ,07:30,• Bến xe Mỹ Đình,,14:30,• Cầu Mè Hotel,7h,250.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,4.5,4.2,4.3,4.5,3.8,4.2,4.5
Hà Tuấn,3.9 (66),Limousine giường phòng 22 chỗ,22:00,• Văn phòng Hà Nội,(15/11),04:30,• Văn phòng Hà Giang,6h30m,Từ 350.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,3.8,3.6,3.6,3.9,3.5,3.5,4.5
Đông Bắc Travel,5 (42),Xe Limousine 11 chỗ,07:00,• Văn phòng Hà Nội,,13:00,• 165 đường Lý Tự Trọng,6h,350.000đ,300.000đ,-14%,"T6, 14/11/2025",Hà Nội,Hà Giang,5.0,5.0,5.0,5.0,5.0,5.0,4.9
Đông Bắc Travel,5 (42),Xe Limousine 16 chỗ,16:00,• Văn phòng Hà Nội,,22:00,• 165 đường Lý Tự Trọng,6h,300.000đ,,,"T6, 14/11/2025",Hà Nội,Hà Giang,5.0,5.0,5.0,5.0,5.0,5.0,4.9
Trường Phát,4.8 (81),Ghế ngồi 7 chỗ,12:00,• Văn phòng Đà Nẵng,,13:20,• Bến xe Tam Kỳ,1h20m,250.000đ,Từ 225.000đ,-10%,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,5.0,5.0,5.0,5.0,5.0,
Phúc Lâm,4.9 (15),Ghế ngồi 7 chỗ,12:00,• VP Đà Nẵng,,13:30,• VP Tam Kỳ,1h30m,110.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.9,4.9,4.8,4.9,4.8,4.8,5.0
Gia Phát Car,5 (11),Ghế ngồi 7 chỗ,14:00,• Văn phòng Đà Nẵng,,15:30,• Bến xe Tam Kỳ,1h30m,Từ 300.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,5.0,5.0,5.0,5.0,5.0,
Hạnh Cafe - Hà Phương Limousine,4.4 (7456),Limousine 36 Giường (Mới),15:30,• Vp Đà Nẵng,,18:00,• Vp Hội An,2h30m,100.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.6,4.4,4.5,4.4,4.4,4.3,4.8
Tân Quang Dũng,3.8 (2382),Limousine 32 phòng (WC),19:00,• Văn Phòng Đà Nẵng,,22:15,• Bến xe Khâm Đức,3h15m,300.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.1,3.9,4.0,4.0,3.9,3.8,4.3
Tân Quang Dũng Limousine,4 (206),Limousine 34 giường VIP new,00:20,• Bến xe Đức Long,,01:50,• Xăng dầu Hòa Mỹ 2,1h30m,290.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.3,4.1,4.2,4.3,4.2,4.1,4.4
VietNam Explore,4.4 (89),Ghế ngồi 16 chỗ,11:25,• Bảo tàng Điêu khắc Chăm Đà Nẵng,,12:15,• Hoi An Ivy Hotel,0h50m,130.000đ,120.000đ,-8%,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.6,4.6,4.4,4.6,4.6,4.4,5.0
Barri Ann Travel,4.7 (83),Ghế ngồi 16 chỗ (mới),13:30,• Bảo tàng Chăm,,14:45,• Văn phòng Hội An,1h15m,130.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,4.8,4.8,4.8,4.6,4.8,5.0
Cửa Ông Limousine,4.1 (525),Limousine 34 phòng,09:00,• Đà Nẵng,,09:45,• Văn phòng Hội An,0h45m,130.000đ,80.000đ,-38%,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,4.4,4.1,4.3,4.3,4.2,4.1,4.3
Hội An Food Tour,5 (7),Ghế ngồi 16 chỗ,13:00,• Rơm coffee,,14:00,• Highlands Coffee,1h,110.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trường Phát,4.8 (81),Ghế ngồi 7 chỗ,15:30,• Văn phòng Đà Nẵng,,16:50,• Bến xe Tam Kỳ,1h20m,250.000đ,Từ 225.000đ,-10%,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,5.0,5.0,5.0,5.0,5.0,
Gia Phát Car,5 (11),Ghế ngồi 7 chỗ,13:00,• Văn phòng Đà Nẵng,,14:30,• Bến xe Tam Kỳ,1h30m,Từ 300.000đ,,,"T6, 14/11/2025",Đà Nẵng,Quảng Nam,5.0,5.0,5.0,5.0,5.0,5.0,
