company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Daiichi Travel,4.7 (342),Sơ đồ 45 (Chuẩn),11:00,• Văn phòng 172 Trần Quang Khải,,14:10,• Văn phòng Cát Bà,3h10m,250.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Anh Huy Travel,4.6 (997),Ghế ngồi 16 chỗ,06:00,• Văn phòng 61 Trần Đăng Ninh,,08:40,• Văn phòng 97 Hùng Vương (Bến xe Thượng Lý),2h40m,150.000,135.000đ,-10%,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Hải Âu,4.8 (7240),Ghế ngồi 45 chỗ,16:00,• BẾN XE GIA LÂM,,17:10,• BẾN XE VĨNH NIỆM,1h10m,130.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.8,4.8,4.9,4.8,4.8,4.8,4.9
Hải Phòng Travel (Đất Cảng),4.4 (1242),Limousine 11 chỗ,20:00,• Hà Nội,,21:30,• Hải Phòng,1h30m,230.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Cát Bà Express,5 (108),Ghế ngồi 34 chỗ,07:45,• Văn phòng Hà Nội (214 Trần Quang Khải),,11:15,"• Văn phòng Cát Bà (Số 191 đường Một Tháng Tư, Cát Bà)",3h30m,300.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.9,4.9,4.9,5.0,4.7,4.9,5.0
Hoàng Phương Limousine (Hải Phòng),4.4 (95),Limousine 9 chỗ,15:00,• Hà Nội .,,17:00,• Hải Phòng .,2h,230.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.7,4.4,4.5,4.5,4.6,4.3,5.0
Anh Huy Đất Cảng,4 (182),Limousine 11 chỗ,16:00,• Văn phòng Hà Nội,,17:30,• Văn Phòng Hải Phòng,1h30m,220.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.4,3.9,3.9,3.9,4.2,4.0,4.8
Kết Đoàn Bus,4.1 (1276),Ghế ngồi 16 chỗ,16:20,• Văn phòng Mỹ Đình,,18:05,• Bến xe Thượng Lý,1h45m,150.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Vip Phương Huy Luxury,4.5 (142),Limousine 11 chỗ,21:00,• Văn phòng Hà Nội - Cổ Linh,,22:30,• Văn phòng Hải Phòng,1h30m,220.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.6,4.5,4.6,4.5,4.6,4.6,5.0
Nguyễn Gia Limousine (Hải Phòng),4.3 (127),Limousine 11 chỗ,09:30,• VP Cầu Giấy,,10:00,• VP Hải Phòng,0h30m,220.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.6,4.3,4.5,4.4,4.5,4.2,3.9
Daiichi Travel,4.7 (342),Sơ đồ 45 (Chuẩn),08:00,• Văn phòng 172 Trần Quang Khải,,11:10,• Văn phòng Cát Bà,3h10m,250.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Anh Huy Travel,4.6 (997),Ghế ngồi 16 chỗ,04:45,• Văn phòng 61 Trần Đăng Ninh,,07:25,• Văn phòng 97 Hùng Vương (Bến xe Thượng Lý),2h40m,150.000,135.000đ,-10%,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.7,4.6,4.6,4.5,4.5,4.5,4.5
Hải Âu,4.8 (7240),Limousine 11 chỗ,15:30,• BẾN XE GIA LÂM,,16:40,• BẾN XE VĨNH NIỆM,1h10m,150.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.8,4.8,4.9,4.8,4.8,4.8,4.9
Hải Phòng Travel (Đất Cảng),4.4 (1242),Ghế ngồi 27 chỗ,16:02,• Hà Nội,,17:32,• Hải Phòng,1h30m,220.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.5,4.3,4.3,4.4,4.4,4.3,4.3
Cát Bà Express,5 (108),Ghế ngồi 34 chỗ,10:45,• Văn phòng Hà Nội (214 Trần Quang Khải),,14:15,"• Văn phòng Cát Bà (Số 191 đường Một Tháng Tư, Cát Bà)",3h30m,300.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,,,,,,,
Hoàng Phương Limousine (Hải Phòng),4.4 (95),Limousine 9 chỗ,15:01,• Hà Nội .,,17:01,• Hải Phòng .,2h,230.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.7,4.4,4.5,4.5,4.6,4.3,5.0
Anh Huy Đất Cảng,4 (182),Limousine 11 chỗ,08:01,• Văn phòng Hà Nội,,09:31,• Văn Phòng Hải Phòng,1h30m,220.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.4,3.9,3.9,3.9,4.2,4.0,4.8
Kết Đoàn Bus,4.1 (1276),Ghế ngồi 16 chỗ,13:50,• Văn phòng Mỹ Đình,,15:35,• Bến xe Thượng Lý,1h45m,150.000,,,"T6, 31/10/2025",Hà Nội,Hải Phòng,4.4,4.2,4.4,4.3,4.3,4.3,4.4
