company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
FUTA HÀ SƠN,4.8 (349),Limousine 24 chỗ,15:00,"• Văn phòng Kim Anh Nội Bài, Hà Nội",,20:40,"• Bến xe Sapa, Lào Cai",5h40m,420.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,4.9,4.7,4.8,4.8,4.8,4.8,4.8
G8 SAPA OPEN TOUR,4.6 (2010),Limousine giường 24 chỗ,23:59,• Văn phòng 105 Hoàng Quốc Việt,(01/11),04:54,• Văn Phòng Sapa (Đường N2),4h55m,420.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
HK BUSLINES,4.6 (1863),Limousine giường phòng 24 chỗ,00:15,• Văn phòng 96 Võ Chí Công,,06:15,• Văn phòng 697 Điện Biên Phủ,6h,420.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
Sapa Express,4.9 (208),Limousine giường phòng 22 chỗ,22:00,• Văn phòng Hà Nội,(01/11),04:00,• Văn phòng Sapa,6h,420.000,Từ 400.001đ,-5%,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
Sao Việt,4.3 (3138),Limousine giường phòng 21 chỗ,23:57,• Văn phòng 7 Phạm Văn Đồng,(01/11),05:57,• Văn phòng Sapa - 03 Nguyễn Đăng Khuê,6h,400.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,4.5,4.3,4.4,4.2,4.3,4.3,4.5
Sapa Group Bus,4.5 (496),Limousine 22 cabin,22:01,• 160 Trần Quang Khải,(01/11),04:31,• Văn phòng Sapa,6h30m,400.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
Cường Phát Limousine,4.6 (22),Limousine 11 chỗ,14:00,• VP Hà Nội,,19:30,• VP Sapa,5h30m,380.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,4.8,4.7,4.7,4.6,4.9,4.7,4.7
King Express Bus,4.1 (237),Giường nằm 40 chỗ,07:00,• Số 210 Trần Quang Khải,,13:05,• 458 Điện Biên Phủ,6h5m,270.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
Newstar Travel,5 (3),Limousine 11 chỗ,15:00,• 35 Lương Ngọc Quyến,,21:00,• Golden Villa Sapa Hotel,6h,400.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SaPa Explore,4.4 (200),Giường nằm 36 chỗ (mới ),06:45,• 30 Phố Lý Thái Tổ,,11:55,• Văn Phòng 448 Điện Biên Phủ,5h10m,250.000,200.000đ,-20%,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
FUTA HÀ SƠN,4.8 (349),Limousine 24 chỗ,23:35,"• Văn phòng Kim Anh Nội Bài, Hà Nội",(01/11),05:25,"• Bến xe Sapa, Lào Cai",5h50m,420.000,,,"T6, 31/10/2025",Hà Nội,Sa Pa - Lào Cai,,,,,,,
