company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Minh Châu Limousine,3.8 (34),Limousine giường phòng 22 chỗ,22:15,• BigC Thăng Long (cổng Tú Mỡ),(02/11),04:15,• Văn Phòng Tà Xùa,6h,325.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.5,3.9,3.9,4.3,3.8,3.8,4.5
Đức Quyến,4.9 (18),Giường nằm 20 chỗ,19:00,• Bến xe Yên Nghĩa.,,23:30,• Khách sạn Hương Sen,4h30m,220.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.9,4.9,4.9,4.9,4.9,4.9,
Mộc Châu Limousine,4.4 (162),Limousine 9 chỗ,07:00,• Ngõ 90 Nguyễn Tuân,,11:00,• Khách sạn Mường Thanh Mộc Châu,4h,250.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.6,4.4,4.6,4.6,4.8,4.6,4.4
Minh Châu Limousine,3.8 (34),Limousine giường phòng 22 chỗ,22:15,• BigC Thăng Long (cổng Tú Mỡ),(02/11),03:45,• Bến Xe Bắc Yên,5h30m,275.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.5,3.9,3.9,4.3,3.8,3.8,4.5
Mộc Châu Limousine,4.4 (162),Limousine 9 chỗ,13:00,• Ngõ 90 Nguyễn Tuân,,17:00,• Khách sạn Mường Thanh Mộc Châu,4h,250.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.6,4.4,4.6,4.6,4.8,4.6,4.4
Đức Quyến,4.9 (18),Giường nằm 20 chỗ,19:00,• Bến xe Yên Nghĩa.,(02/11),02:30,• Cổng UBND tỉnh Sơn La,7h30m,250.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,,,,,,,
Mộc Châu Limousine,4.4 (162),Limousine 9 chỗ,14:00,• Ngõ 90 Nguyễn Tuân,,18:00,• Khách sạn Mường Thanh Mộc Châu,4h,250.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,,,,,,,
Minh Châu Limousine,3.8 (34),Limousine giường phòng 22 chỗ,22:15,• BigC Thăng Long (cổng Tú Mỡ),(02/11),03:15,• Cổng chào Phù Yên,5h,250.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,,,,,,,
Minh Châu Limousine,3.8 (34),Limousine 9 chỗ,06:35,• BigC Thăng Long (cổng Tú Mỡ),,11:20,• Văn Phòng Tà Xùa,4h45m,350.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.5,3.9,3.9,4.3,3.8,3.8,4.5
Minh Châu Limousine,3.8 (34),Limousine 9 chỗ,06:35,• BigC Thăng Long (cổng Tú Mỡ),,10:35,• Cổng chào Phù Yên,4h,275.000,,,"T7, 01/11/2025",Hà Nội,Sơn La,4.5,3.9,3.9,4.3,3.8,3.8,4.5
