company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Đà Lạt ơi,4.8 (3504),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,(02/11),05:30,• Trạm Nha Trang,5h45m,450.000,Từ 239.000đ,-47%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.8,4.8,4.8,4.9
Bình Minh Tải,4.7 (3774),Limousine 22 Phòng Đơn,23:10,• Văn Phòng Quận 1,(02/11),06:15,• Văn phòng Nha Trang,7h5m,350.000,Từ 300.000đ,-14%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.6,4.7,4.6,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),23:01,• Văn phòng Phạm Ngũ Lão,(02/11),05:11,• Văn phòng Nha Trang,6h10m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
An Anh Limousine,4.8 (8512),Limousine 34 Phòng Đơn,23:30,• Văn Phòng Quận 5,(02/11),06:00,• Văn phòng Nha Trang,6h30m,299.000,199.000đ,-33%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7
Nhật Dương - Bình Minh Bus,4.9 (5962),Limousine phòng 22 đôi (WC),22:35,• Văn phòng Nguyễn Cư Trinh Quận 1,(02/11),06:25,• Vp Thích Quảng Đức Nha Trang,7h50m,349.000,Từ 299.000đ,-14%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Liên Hưng,4 (13034),Limousine 21 phòng đơn (WC),21:45,• Bến xe Miền Tây (Quầy 24),(02/11),06:30,• Văn phòng Nha Trang,8h45m,500.000,Từ 300.000đ,-40%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Huỳnh Gia,4.7 (8654),Giường nằm 34 chỗ (WC),20:00,• Cổng Bến xe Miền Tây,(02/11),04:00,• Văn Phòng Nha Trang.,8h,280.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.6,4.6,4.8
Bus365,4.7 (180),Limousine 24 phòng đôi,22:30,• Bến Xe Miền Đông Mới,(02/11),04:30,• Văn Phòng Nha Trang,6h,400.000,Từ 289.000đ,-28%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Xe Nhà,4.3 (3240),Giường nằm 40 chỗ (WC),22:15,• Văn phòng Quận 1,(02/11),05:30,• VP Nha Trang - Xe Nhà,7h15m,260.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.3,4.4,4.2,4.0,4.1,4.7
Trọng Thủy Limousine,4.7 (1378),Limousine 24 phòng Đôi,18:30,• Ngã 4 An Sương,(02/11),01:45,• Văn Phòng Nha Trang,7h15m,470.000,Từ 390.000đ,-17%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.7,4.7,4.7,4.5
