company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Vie Limousine,4.6 (4755),Limousine 9 chỗ,09:15,• Văn phòng Quận 1,,11:15,• Văn phòng Vũng Tàu,2h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Anh Quốc Limousine,4.8 (3548),Limousine 9 chỗ,12:00,• Sân Bay Tân Sơn Nhất,,14:30,• Văn Phòng Vũng Tàu,2h30m,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.9,4.8,4.9,4.9,4.8,4.8,4.9
Hoa Mai,4.4 (4314),Limousine 9 chỗ,16:30,• Văn phòng quận 1,,17:55,• Bến xe Bà Rịa,1h25m,200.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Bến Thành Travel,4.6 (594),Limousine 9 chỗ,08:15,• Văn phòng Sài Gòn,,10:15,• Văn phòng Vũng Tàu,2h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Toàn Thắng - Vũng Tàu,4.6 (453),Limousine 9 chỗ,14:30,• Sân bay Tân Sơn Nhất,,17:30,• Vũng Tàu,3h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.6,4.6,4.6,4.6,4.5,4.5,4.9
Huy Hoàng,4.4 (2755),Limousine 9 chỗ,13:00,• Văn phòng Quận 1,,15:20,• Văn phòng Vũng Tàu,2h20m,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Thanh Phong (Xuyên Mộc),5 (30),Ghế ngồi 16 chỗ,12:00,• Văn phòng Bình Thạnh,,15:30,• Xuyên Mộc,3h30m,120.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,5.0,5.0,5.0,4.9,4.9,4.9,5.0
Thành Vinh (Vũng Tàu),4.3 (289),Limousine 9 chỗ,13:10,• VP Sài Gòn,,15:30,• VP Vũng Tàu,2h20m,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Xe Nhà Mình 72,5 (27),Xe điện 7 chỗ BYD,11:00,• Nội Thành TP.HCM,,16:00,• Hồ Tràm - Láng Dài,5h,200.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.9,5.0,5.0,5.0,4.9,5.0,4.9
Ba Đời,4.1 (23),Ghế ngồi 16 chỗ,05:10,• An Sương,,08:05,• Bến Xe Vũng Tàu,2h55m,140.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.3,4.1,4.3,4.3,4.0,4.2,3.5
Vie Limousine,4.6 (4755),Limousine 9 chỗ,12:00,• Văn phòng Quận 1,,14:00,• Văn phòng Vũng Tàu,2h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Hoa Mai,4.4 (4314),Ghế ngồi 10 chỗ,17:00,• Văn phòng Miền Đông,,18:35,• Bến xe Bà Rịa,1h35m,150.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Anh Quốc Limousine,4.8 (3548),Limousine 9 chỗ,20:00,• Sân Bay Tân Sơn Nhất,,21:50,• Văn phòng Bà Rịa,1h50m,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.9,4.8,4.9,4.9,4.8,4.8,4.9
Huy Hoàng,4.4 (2755),Limousine 9 chỗ,16:30,• Sân Bay Tân Sơn Nhất - Ga Quốc Nội Cột 14 (Ga T1),,19:15,• Văn Phòng Vũng Tàu,2h45m,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Toàn Thắng - Vũng Tàu,4.6 (453),Limousine 9 chỗ,16:30,• Sân bay Tân Sơn Nhất,,19:30,• Vũng Tàu,3h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,,,,,,,
Bến Thành Travel,4.6 (594),Limousine 9 chỗ,09:00,• Văn Phòng Sài Gòn,,11:00,• Văn Phòng Vũng Tàu,2h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.7,4.7,4.7,4.5,4.6,4.5,4.8
Thanh Phong (Xuyên Mộc),5 (30),Ghế ngồi 16 chỗ,07:45,• Văn phòng Bình Thạnh,,11:15,• Xuyên Mộc,3h30m,120.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,5.0,5.0,5.0,4.9,4.9,4.9,5.0
Thành Vinh (Vũng Tàu),4.3 (289),Limousine 9 chỗ,11:40,• VP Sài Gòn,,13:40,• Bến Xe Bà Rịa,2h,190.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.2,4.2,4.2,4.2,4.0,4.0,3.7
Xe Nhà Mình 72,5 (27),Xe điện 7 chỗ BYD,10:00,• Nội Thành TP.HCM,,14:30,• Phước Hải,4h30m,180.000,,,"T7, 01/11/2025",Sài Gòn,Bà Rịa-Vũng Tàu,4.9,5.0,5.0,5.0,4.9,5.0,4.9
