bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,price_original,price_discount,discount_percent,notification,
HK BUSLINES,4.6 (1774),Limousine giường phòng 22 chỗ (WC),17:01,• Văn phòng Hạ Long,3h30m,20:31,• NINH BÌNH - Bến Thuyền Tam Cốc,,Từ 250.000,Từ 250.000,,,
Tam Cốc Limousine,4.2 (18),Limousine 9 chỗ,12:30,• Tùng Luxury Hotel Hạ Long,3h40m,16:10,• VP Ninh Bình,,240.000,230.000,-4%,,
Ninh Bình Travel,4.2 (66),Limousine 11 chỗ,12:00,• Tùng Luxury Hotel Hạ Long,4h,16:00,• Văn phòng Ninh Bình,,350.000,332.500,-5%,,
Ninh Bình Excursion Transport,4.2 (166),Limousine 11 chỗ VIP,12:01,• Văn phòng Quảng Ninh,3h,15:01,• Văn phòng Ninh Bình,,270.000,260.000,-4%,Chính sách trẻ em,
Quang Mười,4 (120),Limousine 9 chỗ (P),13:40,• Hạ Long - Bến xe Bãi Cháy,3h20m,17:00,• Ninh Bình - Bến xe,,250.000,240.000,-4%,Thông Báo Nhà Xe,
The New Way,3.1 (28),Limousine 9 chỗ,13:00,• VP Hạ Long,3h20m,16:20,• Mike's Travel Agency  -  Bến Thuyền Tam Cốc,,290.000,290.000,,,
Duy Khánh Limousine,3.8 (653),Limousine 9 chỗ,17:50,"• Số 24 Thủy Tùng, KS Tùng Luxury",2h50m,20:40,• Bến Xe Điện Tam Cốc,,250.000,240.000,-4%,,
Green Bus (Quảng Ninh),2.8 (4),Limousine 10 chỗ,19:00,• Văn phòng Hạ Long,3h,22:00,• Mike's Travel Agency,,300.000,300.000,,,
Đức Duy Bus,0 (0),Limousine 34 phòng,14:30,• Tùng Luxury Hotel Hạ Long,2h,16:30,• BUSBOOKING Ninh Bình,,350.000,350.000,,,
Ninh Bình Excursion Transport,4.2 (166),Limousine 23 chỗ,12:02,• Văn phòng Quảng Ninh,3h,15:02,• Văn phòng Ninh Bình,,230.000,220.000,-4%,Chính sách trẻ em,
HK BUSLINES,4.6 (1774),Limousine giường phòng 22 chỗ (WC),17:01,• Văn phòng Hạ Long,4h,21:01,• VP 2A đường 27/7 TP.Ninh Bình,,Từ 250.000,Từ 250.000,,,
Quang Mười,4 (120),Limousine 9 chỗ (P),10:00,• Hạ Long - Bến xe Bãi Cháy,3h20m,13:20,• Ninh Bình - Bến xe,,250.000,240.000,-4%,Thông Báo Nhà Xe,
Quang Mười,4 (120),Limousine 9 chỗ (P),11:40,• Hạ Long - Bến xe Bãi Cháy,3h20m,15:00,• Ninh Bình - Bến xe,,250.000,240.000,-4%,Thông Báo Nhà Xe,
Ninh Bình Excursion Transport,4.2 (166),Limousine 11 chỗ VIP,12:00,• Văn phòng Quảng Ninh,3h,15:00,• Văn phòng Ninh Bình,,270.000,260.000,-4%,Chính sách trẻ em,
The New Way,3.1 (28),Limousine 9 chỗ,11:00,• VP Hạ Long,3h20m,14:20,• Mike's Travel Agency  -  Bến Thuyền Tam Cốc,,290.000,290.000,,,
The New Way,3.1 (28),Limousine 9 chỗ,15:00,• VP Hạ Long,3h20m,18:20,• Mike's Travel Agency  -  Bến Thuyền Tam Cốc,,290.000,290.000,,,
Duy Khánh Limousine,3.8 (653),Limousine 9 chỗ,08:20,"• Số 24 Thủy Tùng, KS Tùng Luxury",2h50m,11:10,• Bến Xe Điện Tam Cốc,,250.000,240.000,-4%,,
Duy Khánh Limousine,3.8 (653),Limousine 9 chỗ,13:20,"• Số 24 Thủy Tùng, KS Tùng Luxury",2h50m,16:10,• Bến Xe Điện Tam Cốc,,250.000,240.000,-4%,,
Green Bus (Quảng Ninh),2.8 (4),Limousine 10 chỗ,11:00,• Văn phòng Hạ Long,3h,14:00,• Mike's Travel Agency,,300.000,300.000,,,
Green Bus (Quảng Ninh),2.8 (4),Limousine 10 chỗ,12:00,• Văn phòng Hạ Long,3h,15:00,• Mike's Travel Agency,,300.000,300.000,,,
