bus_name,bus_rating,seat_type,departure_time,pick_up_point,arrival_date,arrival_time,drop_of_point,duartion,original_price,sale_price,percent_discount,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
Đà Lạt ơi,4.8 (3429),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,(12/10),05:30,• Trạm Nha Trang,5h45m,450.000,320.000,-29%,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Bình Minh Tải,4.7 (3655),Limousine 22 Phòng Đơn,22:30,• Văn Phòng Quận 1,(12/10),05:35,• Văn phòng Nha Trang,7h5m,350.000,300.000,-14%,4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8539),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão,(12/10),05:00,• Văn Phòng Nha Trang,6h30m,280.000,250.000,-11%,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16852),Limousine 20 giường phòng (WC),05:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,,11:25,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,480.000,400.000,-17%,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
An Anh Limousine,4.8 (8332),Limousine 34 Phòng Đơn,23:30,• Văn Phòng Quận 5,(12/10),06:00,• Văn phòng Nha Trang,6h30m,299.000,199.000,-33%,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Nam Hải Limousine,4.7 (3473),Limousine 34 giường,22:20,• Văn Phòng Phạm Ngũ Lão,(12/10),06:20,• Văn Phòng Nha Trang,8h,300.000,270.000,-10%,4.8,4.7,4.7,4.7,4.7,4.7,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5830),Limousine 22 Phòng Đôi Luxury (WC),23:30,• Văn phòng Nguyễn Cư Trinh Quận 1,(12/10),06:06,• Vp Thích Quảng Đức Nha Trang,6h36m,349.000,304.000,-13%,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Bus365,4.7 (167),Limousine 24 phòng đôi,22:00,• Bến Xe Miền Đông Mới,(12/10),04:00,• Văn Phòng Nha Trang,6h,400.000,289.000,-28%,4.8,4.6,4.7,4.8,4.7,4.7,4.5,
Trà Lan Viên,4.4 (4202),Limousine 30 Phòng Đơn (WC),22:15,• Vp. Quận 1,(12/10),05:35,• VP Hà Quang 2,7h20m,280.000,260.000,-7%,,,,,,,,
Xe Nhà,4.3 (3215),Giường nằm 40 chỗ (WC),22:15,• Văn phòng Quận 1,(12/10),05:30,• VP Nha Trang - Xe Nhà,7h15m,280.000,238.000,-15%,4.3,4.2,4.4,4.2,4.0,4.0,4.5,
Đà Lạt ơi,4.8 (3429),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,(12/10),06:30,• Trạm Nha Trang,7h,450.000,320.000,-29%,4.8,4.8,4.8,4.8,4.8,4.8,4.8,
Khanh Phong,4.7 (16852),Limousine 20 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,(12/10),04:20,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,480.000,450.000,-6%,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8539),Giường nằm 34 chỗ (WC),23:00,• Văn Phòng Phạm Ngũ Lão,(12/10),05:30,• Văn Phòng Nha Trang,6h30m,280.000,238.000,-15%,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Bình Minh Tải,4.7 (3655),Limousine 22 Phòng Đôi VIP (WC),23:15,• Văn Phòng Quận 1,(12/10),06:20,• Văn phòng Nha Trang,7h5m,395.000,289.000,-27%,,,,,,,,
Nhật Dương - Bình Minh Bus,4.9 (5830),Limousine phòng 22 đôi (WC),22:35,• Văn phòng Nguyễn Cư Trinh Quận 1,(12/10),06:25,• Vp Thích Quảng Đức Nha Trang,7h50m,349.000,304.000,-13%,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
An Anh Limousine,4.8 (8332),Limousine 24 Phòng Đôi,05:00,• Văn Phòng Quận 5,,11:30,• Văn phòng Nha Trang,6h30m,449.000,299.000,-33%,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Nam Hải Limousine,4.7 (3473),Limousine 22 giường,10:15,• Văn Phòng Phạm Ngũ Lão,,18:15,• Văn Phòng Nha Trang,8h,420.000,370.000,-12%,,,,,,,,
Bus365,4.7 (167),Limousine 24 phòng đôi,13:00,• Bến Xe Miền Đông Mới,,19:00,• Văn Phòng Nha Trang,6h,400.000,289.000,-28%,4.8,4.6,4.7,4.8,4.7,4.7,4.5,
Trà Lan Viên,4.4 (4202),Limousine 21 Phòng Đơn (WC),23:00,• Vp. Quận 1,(12/10),06:20,• VP Hà Quang 2,7h20m,450.000,400.000,-11%,4.6,4.5,4.5,4.4,4.3,4.3,4.7,
Liên Hưng,4 (12929),Limousine 21 phòng đơn (WC),22:15,• Bến xe Miền Tây (Quầy 24),(12/10),07:00,• Văn phòng Nha Trang,8h45m,500.000,300.000,-40%,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
