company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Đà Lạt ơi,4.8 (3532),Limousine 24 Phòng ĐÔI,22:30,• Công viên Thanh Lễ,(11/11),06:30,• Trạm Nha Trang,8h,450.000đ,Từ 239.000đ,-47%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.8,4.8,4.8,4.8,4.8,4.9
Khanh Phong,4.7 (17295),Limousine 32 giường nằm (WC),14:25,• Văn phòng Phạm Ngũ Lão - Quận 1,,20:20,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000đ,300.000đ,-6%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.7,4.6,4.8
Bình Minh Tải,4.7 (3830),Limousine 22 Phòng Đơn,22:30,• Văn Phòng Quận 1,(11/11),05:35,• Văn phòng Nha Trang,7h5m,350.000đ,Từ 300.000đ,-14%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.7,4.7,4.6,4.6,4.6,4.9
Huỳnh Gia,4.7 (8716),Giường nằm 34 chỗ (WC),23:00,• Văn Phòng Phạm Ngũ Lão,(11/11),05:30,• Văn Phòng Nha Trang,6h30m,280.000đ,Từ 238.000đ,-15%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8
An Anh Limousine,4.8 (8594),Limousine 34 Phòng Đơn,23:30,• Văn Phòng Quận 5,(11/11),06:00,• Văn phòng Nha Trang,6h30m,299.000đ,249.000đ,-17%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7
Liên Hưng,4 (13064),Limousine 32 giường (WC),20:00,• Bến Xe Bình Dương,(11/11),06:30,• Văn Phòng Diên Toàn,10h30m,313.000đ,Từ 240.000đ,-23%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.3
Nhật Dương - Bình Minh Bus,4.9 (6000),Limousine phòng 21 đôi (WC),23:00,• Văn phòng Nguyễn Cư Trinh Quận 1,(11/11),06:50,• Vp Thích Quảng Đức Nha Trang,7h50m,349.000đ,Từ 269.000đ,-23%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Cúc Tùng,3.8 (2847),Limousine giường nằm đơn 21 chỗ (WC),09:00,• Văn Phòng Bình Thạnh,,17:50,• Bến Xe Phía Nam Diên Khánh,8h50m,340.000đ,Từ 299.000đ,-12%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.8,4.1
Nam Hải Limousine,4.7 (3636),Limousine 24 phòng,10:15,• Văn Phòng Phạm Ngũ Lão,,18:15,• Văn Phòng Nha Trang,8h,400.000đ,Từ 350.000đ,-12%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8
Phương Nam,4.7 (2478),Giường nằm 40 chỗ có toilet,19:30,• Văn phòng Quận 1,(11/11),05:32,• Ngã 3 ngoài,10h2m,240.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8
Đà Lạt ơi,4.8 (3532),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,(11/11),05:30,• Trạm Nha Trang,5h45m,450.000đ,Từ 239.000đ,-47%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.8,4.8,4.8,4.8,4.8,4.9
Khanh Phong,4.7 (17295),Limousine 32 giường nằm (WC),23:01,• Văn phòng Phạm Ngũ Lão - Quận 1,(11/11),05:11,• Văn phòng Nha Trang (Khách sạn Mường Thanh),6h10m,320.000đ,300.000đ,-6%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.7,4.6,4.8
Huỳnh Gia,4.7 (8716),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão,(11/11),05:00,• Văn Phòng Nha Trang,6h30m,280.000đ,Từ 238.000đ,-15%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8
Bình Minh Tải,4.7 (3830),Limousine 22 Phòng Đôi VIP (WC),05:00,• Văn Phòng Quận 1,,12:05,• Văn phòng Nha Trang,7h5m,395.000đ,Từ 289.000đ,-27%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.7,4.7,4.6,4.6,4.6,4.9
An Anh Limousine,4.8 (8594),Limousine 24 Phòng Đôi,05:00,• Văn Phòng Quận 5,,11:30,• Văn phòng Nha Trang,6h30m,449.000đ,Từ 349.000đ,-22%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7
Nhật Dương - Bình Minh Bus,4.9 (6000),Limousine 22 Phòng Đôi Luxury (WC),17:00,• Văn phòng Nguyễn Cư Trinh Quận 1,,23:36,• Vp Thích Quảng Đức Nha Trang,6h36m,349.000đ,Từ 269.000đ,-23%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Nam Hải Limousine,4.7 (3636),Limousine 34 giường,22:20,• Văn Phòng Phạm Ngũ Lão,(11/11),06:20,• Văn Phòng Nha Trang,8h,300.000đ,270.000đ,-10%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.7,4.7,4.8
Cúc Tùng,3.8 (2847),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến xe Bến Cát,(11/11),08:05,• Bến xe Phía Bắc Nha Trang,12h5m,541.000đ,Từ 299.000đ,-45%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.8,4.1
Liên Hưng,4 (13064),Limousine 21 phòng đơn (WC),08:45,• Cầu Vượt Linh Xuân,,16:30,• Văn Phòng Diên Toàn,7h45m,490.000đ,Từ 250.000đ,-49%,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.3
Phương Nam,4.7 (2478),Giường nằm 40 chỗ có toilet,22:00,• Văn phòng Quận 1,(11/11),08:02,• Ngã 3 ngoài,10h2m,240.000đ,,,"T2, 10/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8
