,pick_up_point,drop_of_point
0,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
1,Bến xe Nước Ngầm,Bến xe Thọ Xuân
2,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
3,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
4,Bến xe Nước Ngầm,Big C Thanh Hóa
5,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
6,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
7,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
8,"Bến xe Giáp Bát, Hà Nội","Nút giao Hà Lĩnh, Hà Trung, Thanh Hóa"
9,Ngã tư Cổ Nhuế - Phạm Văn Đồng,Big C Thanh Hóa
10,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
11,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
12,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
13,Bến xe Nước Ngầm,Big C Thanh Hóa
14,Bến xe Giáp Bát,Bến xe phía Tây Thanh Hóa
15,Bến xe Nước Ngầm,Bến xe Thọ Xuân
16,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
17,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
18,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
19,Bến xe Nước Ngầm,Big C Thanh Hóa
20,Bến xe Sơn Tây,Big C Thanh Hóa
21,1 Tân An Bình (Hà Nội),Thanh Hóa
22,Bến xe Nước Ngầm,BigC Thanh Hóa
23,Bến xe Nước Ngầm,BigC Thanh Hóa
24,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
25,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
26,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
27,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
28,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
29,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
30,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
31,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
32,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
33,Bến xe Nước Ngầm,Big C Thanh Hóa
34,Bến xe Nước Ngầm,Bến xe Thọ Xuân
35,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
36,Bến xe Nước Ngầm,Big C Thanh Hóa
37,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
38,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
39,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
40,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
41,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
42,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
43,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
44,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
45,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
46,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
47,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
48,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
49,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
50,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
51,Bến xe Nước Ngầm,Bến xe Thọ Xuân
52,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
53,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
54,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
55,Bến xe Nước Ngầm,Big C Thanh Hóa
56,Bến xe Nước Ngầm,Big C Thanh Hóa
57,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
58,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
59,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
60,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
61,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
62,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
63,Bến xe Nước Ngầm,Big C Thanh Hóa
64,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
65,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
66,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
67,Bến xe Nước Ngầm,Big C Thanh Hóa
68,Ngã tư Cổ Nhuế - Phạm Văn Đồng,Big C Thanh Hóa
69,Thị Trấn Trạm Trôi,Big C Thanh Hóa
70,Thị trấn Phùng,Big C Thanh Hóa
71,Thăng Long Number One,Big C Thanh Hóa
72,1 Tân An Bình (Hà Nội),Thanh Hóa
73,Bến xe Nước Ngầm,BigC Thanh Hóa
74,Bến xe Nước Ngầm,BigC Thanh Hóa
75,Bến xe Nước Ngầm,BigC Thanh Hóa
76,Bến xe Nước Ngầm,BigC Thanh Hóa
77,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
78,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
79,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
80,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
81,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
82,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
83,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
84,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
85,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
86,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
87,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
88,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
89,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
90,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
91,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
92,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
93,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
94,Bến xe Giáp Bát,Bến xe Phía Bắc Thanh Hóa
95,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
96,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
97,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
98,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
99,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
100,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
101,Bến xe Nước Ngầm,Bến xe Hoằng Hóa
102,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
103,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
104,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
105,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
106,Bến xe Nước Ngầm,Bến xe Hoằng Hóa
107,Bến xe Nước Ngầm,Bến xe Thọ Xuân
108,Bến xe Giáp Bát,Bến xe phía Tây Thanh Hóa
109,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
110,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
111,Bến xe Nước Ngầm,Bến xe Hoằng Hóa
112,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
113,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
114,Bến xe Nước Ngầm,Bến xe Thọ Xuân
115,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
116,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
117,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
118,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
119,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
120,Bến xe Nước Ngầm,Bến xe Hoằng Hóa
121,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
122,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
123,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
124,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
125,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
126,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
127,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
128,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
129,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
130,Văn phòng Đồng Tàu,Văn phòng Thanh Hóa
131,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
132,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
133,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
134,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
135,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
136,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
137,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
138,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
139,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
140,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
141,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
142,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
143,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
144,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
145,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
146,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
147,Bến xe Nước Ngầm,Bến xe Thọ Xuân
148,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
149,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
150,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
151,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
152,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
153,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
154,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
155,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
156,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
157,Văn phòng Linh Đàm,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
158,Bến xe Nước Ngầm,Bến xe Thọ Xuân
159,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
160,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
161,Văn Phòng Hà Nội,Bến xe phía Tây Thanh Hóa
162,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
163,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
164,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
165,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
166,Bến xe Nước Ngầm,Bến xe Thọ Xuân
167,Bến xe Nước Ngầm,Bến xe Thọ Xuân
168,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
169,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
170,Bến xe Nước Ngầm,Bến xe Thọ Xuân
171,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
172,Văn phòng Hoàng Mai,Văn phòng Triệu Sơn
173,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
174,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
175,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
176,Văn phòng Hoàng Mai,Tượng đài Lê Lợi
177,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
178,Bến xe Giáp Bát,Bến xe Hoằng Hóa
179,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
180,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
181,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
182,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
183,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
184,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
185,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
186,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
187,Bến xe Nước Ngầm,Bến xe Hoằng Hóa
188,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
189,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
190,Văn phòng Mỹ Đình,Văn phòng Thanh Hóa
191,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
192,Văn Phòng Hà Nội,Văn phòng Thanh Hóa
193,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
